번호,생태통로명,주소,차선_수,관리기관,생태통로유형,설치기관,위도,경도
1160,,경상남도 밀양시 산내면 남명리,왕복2차선,경상남도 밀양시,육교형,경상남도 밀양시,35.56205277777777,128.94295833333334
1161,낙서 전화 생태통로,경상남도 의령군 낙서면 전화리,왕복2차선,경상남도 의령군,육교형,경상남도 의령군,35.387458333333335,128.20285833333332
1162,쇄목재 생태통로,경상남도 의령군 대의면 신전리,왕복2차선,경상남도 도로관리사업소,육교형,경상남도 의령군,35.49353888888889,128.37746388888888
1163,,경상남도 고성군 마암면 보전리,왕복2차선,경상남도 고성군,육교형,경상남도,35.031425,128.36902222222224
1164,,경상남도 고성군 구만면 주평리,왕복2차선,경상남도 고성군,육교형,경상남도,35.10141388888889,128.35904722222222
1165,문의 생태통로,경상남도 남해군 설천면 문의리,왕복2차선,경상남도 남해군,육교형,경상남도 남해군,34.939166666666665,127.90666666666667
1166,임포 생태통로,경상남도 남해군 남면 임포리,왕복2차선,경상남도 남해군,육교형,경상남도 남해군,34.74527777777778,127.88944444444445
1167,임포 생태통로,경상남도 거창군 위천면 강천리산,왕복1차선,경상남도 남해군,육교형,경상남도 남해군,35.76310106520161,127.81240021365849
1168,,제주특별자치도 서귀포시 남원읍 신례리,왕복4차선,제주특별자치도,터널형,제주지방국토관리청,33.324986111111116,126.59906944444444
1169,,제주특별자치도 제주시 애월읍 하귀리,왕복4차선,제주특별자치도,터널형,제주지방국토관리청,33.473533333333336,126.40963611111111
1170,,제주특별자치도 제주시 애월읍 봉성리,왕복4차선,제주특별자치도,터널형,제주특별자치도,33.35273333333333,126.35954166666666
1171,,제주특별자치도 제주시 애월읍 봉성리,왕복4차선,제주특별자치도,터널형,제주특별자치도,33.36777222222222,126.36814166666666
1172,,제주특별자치도 제주시 애월읍 소길리,왕복4차선,제주특별자치도,터널형,제주특별자치도,33.428916666666666,126.41333333333334
1173,,제주특별자치도 제주시 애월읍 광령리,왕복4차선,제주특별자치도,터널형,제주지방국토관리청,33.47253888888889,126.42530000000001
1174,,제주특별자치도 서귀포시 안덕면 서광리,왕복4차선,제주특별자치도,터널형,제주특별자치도,33.27364722222222,126.30334166666667
1175,,제주특별자치도 서귀포시 대정읍 안성리,왕복4차선,제주특별자치도,터널형,제주특별자치도,33.258783333333334,126.28866944444444
1176,,제주특별자치도 제주시 애월읍 광령리,왕복2차선,제주특별자치도,터널형,제주지방국토관리청,33.36538888888889,126.46744722222222
1177,,제주특별자치도 제주시 애월읍 광령리,왕복2차선,제주특별자치도,터널형,제주지방국토관리청,33.36538888888889,126.46744722222222
1178,,제주특별자치도 서귀포시 중문동,왕복2차선,제주특별자치도,터널형,제주지방국토관리청,33.35127777777778,126.46150277777778
1179,,제주특별자치도 제주시 애월읍 광령리,왕복2차선,제주특별자치도,터널형,제주지방국토관리청,33.372102777777776,126.47169166666667
1180,한라생태숲 생태통로,제주특별자치도 제주시 516로 2596,왕복2차선,제주특별자치도,터널형,국토교통부,33.42916666666667,126.59866666666666
1181,구룡령 생태통로,강원도 양양군 서면 갈천리,왕복4차선,환경부 원주지방환경청,육교형,환경부,37.8801921336503,128.51427445040804
1182,시암재,전라남도 구례군 광의면 방광리,왕복2차선,국립공원관리공단,육교형,환경부,35.301288888888884,127.49693888888889
1183,지릅재,충청북도 제천시 수안보면 미륵리,왕복2차선,국립공원관리공단,터널형,월악산국립공원사무소,36.824000000000005,128.0866388888889
1184,정령치1,전라북도 남원시 산내면 덕동리,왕복2차선,전라북도 남원시,터널형,환경부,35.35055555555556,127.53388888888888
1185,정령치2,전라북도 남원시 주천면 고기리,왕복2차선,전라북도 남원시,터널형,환경부,35.36688888888889,127.5123611111111
1186,버리미기재,경상북도 문경시 가은읍 완장리,왕복2차선,경상북도 문경시,터널형,환경부,36.68936111111111,127.95152777777778
1189,화순 이양 이양 생태통로,전라남도 화순군 이양면 이양리 156-4,왕복4차선,광주국토관리사무소,육교형,익산지방국토관리청,34.885955493281365,126.99342093152185
1190,완도 군외 신학 생태통로,전라남도 완도군 군외면 신학리 산51-12,왕복4차선,광주국토관리사무소,육교형,익산지방국토관리청,34.38196797215617,126.66053700396265
1191,해남 현산 월송 생태통로,전라남도 해남군 현산면 월송리 산2-6,왕복4차선,광주국토관리사무소,육교형,익산지방국토관리청,34.41711438215554,126.59810704392203
1192,용화,전라북도 익산시 왕궁면 용화리 산1-44,왕복4차선,전주국토관리사무소,육교형,익산지방국토관리청,36.013866666666665,127.08312777777778
1193,고봉,전라북도 군산시 성산면 고봉리 산32-1,왕복4차선,전주국토관리사무소,터널형,익산지방국토관리청,35.980538888888894,126.80158888888889
1194,축산1,전라북도 군산시 임피면 축산리 산44-9,왕복4차선,전주국토관리사무소,터널형,익산지방국토관리청,35.99523888888889,126.85620277777777
1195,축산2,전라북도 군산시 임피면 축산리 산96-7,왕복4차선,전주국토관리사무소,터널형,익산지방국토관리청,35.99650277777778,126.85021111111111
1196,오봉,전라북도 정읍시 태인면 오봉리 66-1,왕복4차선,전주국토관리사무소,터널형,익산지방국토관리청,35.66000555555556,126.941225
1197,남봉,전라북도 완주군 고산면 남봉리 산44-1,왕복4차선,전주국토관리사무소,터널형,익산지방국토관리청,35.965672222222224,127.1940388888889
1198,서봉,전라북도 완주군 고산면 서봉리 73,왕복4차선,전주국토관리사무소,터널형,익산지방국토관리청,35.982866666666666,127.21069722222222
1199,,전라남도 곡성군 오산면 단사리,왕복2차선,국토교통부,터널형,국토교통부,35.22111944444445,127.12934999999999
1200,두여,전라북도 익산시 여산면 두여리 산1-1,왕복4차선,전주국토관리사무소,육교형,익산지방국토관리청,36.07208333333334,127.09000833333333
1201,,전라북도 무주군 무풍면 삼거리,왕복2차선,익산지방국토관리청,터널형,국토교통부,35.881077777777776,127.81541388888888
1202,,전라북도 무주군 설천면 두길리,왕복2차선,익산지방국토관리청,터널형,국토교통부,35.96581388888889,127.784825
1203,,전라북도 무주군 설천면 심곡리,왕복2차선,익산지방국토관리청,터널형,국토교통부,35.885355555555556,127.74868888888889
1204,,전라남도 곡성군 오산면 선세리,왕복2차선,전라남도 도로관리사업소,터널형,국토교통부,35.20224166666667,127.12953055555555
1205,,전라남도 곡성군 오산면 선세리,왕복2차선,국토교통부,터널형,국토교통부,35.21194166666667,127.12868611111111
1206,장암,전라북도 임실군 덕치면 장암리 1020,왕복4차선,남원국토관리사무소,육교형,익산지방국토관리청,35.462425,127.14918611111112
1207,신교,전라북도 완주군 소양면 신교리 14-2,왕복4차선,전주국토관리사무소,양서 파충류 통로,전주국토관리사무소,35.85362777777778,127.220375
1208,월봉,전라북도 김제시 백구면 월봉리 83-2,왕복4차선,전주국토관리사무소,양서 파충류 통로,전주국토관리사무소,35.88216388888889,126.95263611111112
1209,신정,전라북도 진안군 부귀면 신정리 산257,왕복4차선,전주국토관리사무소,육교형,전주국토관리사무소,35.813561111111106,127.34572222222222
1210,정곡,전라북도 진안군 진안읍 정곡리 산227,왕복4차선,전주국토관리사무소,육교형,전주국토관리사무소,35.782583333333335,127.41390833333334
1211,육십령 생태통로,전라북도 장수군 장계면 명덕리 산154-89,왕복2차선,남원국토관리사무소,육교형,남원국토관리사무소,35.722596763473895,127.65998390674359
1212,여원재 생태통로,전라북도 남원시 이백면 양가리 산55-25,왕복2차선,남원국토관리사무소,육교형,남원국토관리사무소,35.44875,127.48597222222223
1213,덕산재 생태통로,전라북도 무주군 무풍면 금평리 산161-6,왕복2차선,남원국토관리사무소,육교형,남원국토관리사무소,35.94013888888889,127.90155555555556
1214,운북_1,전라북도 순창군 구림면 운북리 산59-1,왕복2차선,남원국토관리사무소,터널형,남원국토관리사무소,35.33986111111111,127.0411111111111
